	Oui/balles/plomb	Oui/lamelles/plomb	Oui/balle/plomb	Oui/noyaux/plomb	Oui/cartouches/plomb	Oui/billes/plomb	Oui/boulet/plomb	Oui/bille/plomb	Oui/plaque/plomb	Oui/coupole/plomb	Non/soleil/plomb	Oui/urne/plomb	Oui/tablette/plomb	Oui/tuyau/plomb	Oui/cercueil/plomb	Oui/cage/plomb	Oui/gants/plomb	Oui/masse/plomb	Oui/lingot/plomb	Oui/morceau/plomb	Oui/armatures/plomb	Non/silence/plomb
Non/soleil/plomb	0.2123933732509613	0.0007927040569484234	0.4013076424598694	0.04164522886276245	0.12236300110816956	0.113465815782547	0.39379993081092834	0.29488444328308105	0.27453136444091797	0.20136995613574982	1.0	0.28725212812423706	0.3135971426963806	0.3542250692844391	0.3819333016872406	0.23908966779708862	0.2294091135263443	0.2425326555967331	0.2904164493083954	0.30088600516319275	0.20301349461078644	0.5373709797859192	
Oui/urne/plomb	0.29138219356536865	0.09858369082212448	0.3985450267791748	0.25391310453414917	0.27143627405166626	0.24434830248355865	0.2570706009864807	0.40431398153305054	0.3123686909675598	0.34822696447372437	0.28725212812423706	1.0	0.41534337401390076	0.24713894724845886	0.37791067361831665	0.32315337657928467	0.2825275957584381	0.3002084791660309	0.3645978569984436	0.23030874133110046	0.27520596981048584	0.27665427327156067	
Oui/tablette/plomb	0.37116721272468567	0.2337474822998047	0.4278155565261841	0.21556487679481506	0.27457356452941895	0.2689546048641205	0.39311540126800537	0.5401768088340759	0.4876553416252136	0.32134121656417847	0.3135971426963806	0.41534337401390076	1.0	0.379849374294281	0.4273418188095093	0.508215606212616	0.29939883947372437	0.39594924449920654	0.3992103338241577	0.47922196984291077	0.2828792333602905	0.35517048835754395	
Oui/tuyau/plomb	0.11669561266899109	0.0980389341711998	0.254014253616333	0.08558275550603867	0.15738274157047272	0.1502772569656372	0.3685322105884552	0.3121660351753235	0.3677513003349304	0.1105300635099411	0.3542250692844391	0.24713894724845886	0.379849374294281	1.0	0.39288944005966187	0.3581560254096985	0.20458637177944183	0.27275753021240234	0.3770597279071808	0.48186856508255005	0.08721974492073059	0.343887597322464	
Oui/cercueil/plomb	0.24917730689048767	0.12015420198440552	0.29099375009536743	0.1825966089963913	0.20176729559898376	0.17487123608589172	0.5145007371902466	0.2997525930404663	0.3435327112674713	0.1815885305404663	0.3819333016872406	0.37791067361831665	0.4273418188095093	0.39288944005966187	1.0	0.4789629280567169	0.26492074131965637	0.17419752478599548	0.24636541306972504	0.46041327714920044	0.10523343086242676	0.5320363640785217	
Oui/cage/plomb	0.25304219126701355	0.15961946547031403	0.34396544098854065	0.23485684394836426	0.23334859311580658	0.1568387746810913	0.49054428935050964	0.45331114530563354	0.43583229184150696	0.30875682830810547	0.23908966779708862	0.32315337657928467	0.508215606212616	0.3581560254096985	0.4789629280567169	1.0	0.19963465631008148	0.2851715087890625	0.2413691282272339	0.3530826270580292	0.13599883019924164	0.3328573405742645	
Oui/gants/plomb	0.5305149555206299	0.28632909059524536	0.23636245727539062	0.49148157238960266	0.4155590832233429	0.4565618932247162	0.2248210608959198	0.16887566447257996	0.1892486810684204	0.08109971135854721	0.2294091135263443	0.2825275957584381	0.29939883947372437	0.20458637177944183	0.26492074131965637	0.19963465631008148	1.0	0.1600719690322876	0.40251126885414124	0.26271480321884155	0.45321255922317505	0.19795840978622437	
Oui/masse/plomb	0.2690447270870209	0.030810294672846794	0.5064248442649841	0.1980227530002594	0.10740784555673599	0.1329672485589981	0.20725367963314056	0.42725586891174316	0.4080701470375061	0.21499136090278625	0.2425326555967331	0.3002084791660309	0.39594924449920654	0.27275753021240234	0.17419752478599548	0.2851715087890625	0.1600719690322876	1.0	0.3564802408218384	0.4448069930076599	0.16875135898590088	0.3084433674812317	
Oui/lingot/plomb	0.4306789040565491	0.1464436799287796	0.3356858789920807	0.2827502191066742	0.2494927942752838	0.3269745707511902	0.3283129632472992	0.2484544813632965	0.30664148926734924	0.04935794696211815	0.2904164493083954	0.3645978569984436	0.3992103338241577	0.3770597279071808	0.24636541306972504	0.2413691282272339	0.40251126885414124	0.3564802408218384	1.0	0.43134820461273193	0.3728909492492676	0.28794366121292114	
Oui/morceau/plomb	0.32886067032814026	0.16212038695812225	0.4179839789867401	0.17580750584602356	0.21872512996196747	0.2818377614021301	0.3553989827632904	0.39567407965660095	0.47031399607658386	0.12451983243227005	0.30088600516319275	0.23030874133110046	0.47922196984291077	0.48186856508255005	0.46041327714920044	0.3530826270580292	0.26271480321884155	0.4448069930076599	0.43134820461273193	1.0	0.15570543706417084	0.33401113748550415	
Oui/armatures/plomb	0.4621102213859558	0.24228180944919586	0.14052323997020721	0.4391486346721649	0.2998720407485962	0.3060811161994934	0.12517231702804565	0.03235344588756561	0.16111023724079132	0.0659918412566185	0.20301349461078644	0.27520596981048584	0.2828792333602905	0.08721974492073059	0.10523343086242676	0.13599883019924164	0.45321255922317505	0.16875135898590088	0.3728909492492676	0.15570543706417084	1.0	0.14877820014953613	
Non/silence/plomb	0.17549069225788116	-0.0033741395454853773	0.3462792932987213	0.13262534141540527	0.11257758736610413	0.06746846437454224	0.4691416621208191	0.2542446255683899	0.24732621014118195	0.13184376060962677	0.5373709797859192	0.27665427327156067	0.35517048835754395	0.343887597322464	0.5320363640785217	0.3328573405742645	0.19795840978622437	0.3084433674812317	0.28794366121292114	0.33401113748550415	0.14877820014953613	1.0	
